Row Id,Id,Title,Published At,E Tag,Kind,Channel Title,Type,Group Id,Batch Id,Batch Date
1,com.domo.connector.youtube.vo.Id@32d61bcd,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/if-jr27RxHVmrMI2wohsbmZVEmE""",youtube#activity,AironGroup,like,\N,1,2016-12-20T19:37:23
2,com.domo.connector.youtube.vo.Id@5820d466,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/Xkm9Sph02GY6KEl__zb31Pi7dU4""",youtube#activity,Solar Danmark A/S,like,\N,1,2016-12-20T19:37:23
3,com.domo.connector.youtube.vo.Id@37b75764,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/CV9OzfPFKOTskNpU8DbueZ5OrFQ""",youtube#activity,erocafuerte2010,like,\N,1,2016-12-20T19:37:23
4,com.domo.connector.youtube.vo.Id@48713ee,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/0_ZJFmJ0xZrtXNOTD2z1RlKpvaA""",youtube#activity,AironGroup,like,\N,2,2016-12-21T14:36:07
5,com.domo.connector.youtube.vo.Id@4d3e0941,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/QHhe5sA18txchkk97yHk8qRrrbo""",youtube#activity,Solar Danmark A/S,like,\N,2,2016-12-21T14:36:07
6,com.domo.connector.youtube.vo.Id@4f755c54,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/COn3UA78kyjQ28l0qnk3S8-2gJY""",youtube#activity,erocafuerte2010,like,\N,2,2016-12-21T14:36:07
7,com.domo.connector.youtube.vo.Id@4a63f357,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/KfHKrIZH2YFNseW_BKlZCIw3PoI""",youtube#activity,AironGroup,like,\N,3,2016-12-22T14:36:08
8,com.domo.connector.youtube.vo.Id@2e2c4fa7,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/TEO3eU3aiQU1086bFl2TO1u95RY""",youtube#activity,Solar Danmark A/S,like,\N,3,2016-12-22T14:36:08
9,com.domo.connector.youtube.vo.Id@6506b448,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/mdJn7ZdNi4XGa7saUhtzCS247Og""",youtube#activity,erocafuerte2010,like,\N,3,2016-12-22T14:36:08
10,com.domo.connector.youtube.vo.Id@60cd9cf1,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/wahXbzEd4ANv4gJ0NkDDWUffAyI""",youtube#activity,AironGroup,like,\N,4,2016-12-23T14:36:08
11,com.domo.connector.youtube.vo.Id@2512c081,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/PDcInObKCwxm-zKKg4n_KHWA0Jc""",youtube#activity,Solar Danmark A/S,like,\N,4,2016-12-23T14:36:08
12,com.domo.connector.youtube.vo.Id@27584ecc,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/w6j21HHdE2BN5SgzPLYN3jZXRXA""",youtube#activity,erocafuerte2010,like,\N,4,2016-12-23T14:36:08
13,com.domo.connector.youtube.vo.Id@6b9d2aad,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/BMdV8Hy8_3ISSt0MkGdKxF9h4rI""",youtube#activity,AironGroup,like,\N,5,2016-12-24T14:36:05
14,com.domo.connector.youtube.vo.Id@cccfb52,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/4Qo9Toxq0aYTKfFj-f9cdlaMOHc""",youtube#activity,Solar Danmark A/S,like,\N,5,2016-12-24T14:36:05
15,com.domo.connector.youtube.vo.Id@60cd9cf1,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/uAJ7Aj3SQVxlIJFTJBJdNRtNfmk""",youtube#activity,erocafuerte2010,like,\N,5,2016-12-24T14:36:05
16,com.domo.connector.youtube.vo.Id@6b9d2aad,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/EiDmSqZ6quaXo4R_OPCgMb64-2o""",youtube#activity,AironGroup,like,\N,6,2016-12-25T14:36:06
17,com.domo.connector.youtube.vo.Id@cccfb52,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/GJFR6LINNSZvq-PagqTdIUUrQ9g""",youtube#activity,Solar Danmark A/S,like,\N,6,2016-12-25T14:36:06
18,com.domo.connector.youtube.vo.Id@60cd9cf1,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/rxggWq4C2VRxml3Souh8l7vedYM""",youtube#activity,erocafuerte2010,like,\N,6,2016-12-25T14:36:06
19,com.domo.connector.youtube.vo.Id@4a63f357,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/z5WvfLqqiZ3UrqNz5Pkf71aQeMc""",youtube#activity,AironGroup,like,\N,7,2016-12-26T14:36:06
20,com.domo.connector.youtube.vo.Id@2e2c4fa7,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/ZZpXa3kj9IJHgsURl42NUg_JUf4""",youtube#activity,Solar Danmark A/S,like,\N,7,2016-12-26T14:36:06
21,com.domo.connector.youtube.vo.Id@6506b448,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/HNf6c8ODXyzgjlLjjYAu6axZIeA""",youtube#activity,erocafuerte2010,like,\N,7,2016-12-26T14:36:06
22,com.domo.connector.youtube.vo.Id@1eb1145,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/CsesGTvl-hcME9QrRvDw2DidLGc""",youtube#activity,AironGroup,like,\N,8,2016-12-27T14:36:05
23,com.domo.connector.youtube.vo.Id@71a00116,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/z2vpeDZGu9aWRz7aNgJibmHBzyM""",youtube#activity,Solar Danmark A/S,like,\N,8,2016-12-27T14:36:05
24,com.domo.connector.youtube.vo.Id@41ddbc75,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/AiNBHvmZOcQ1TfihoQ73VaSqyos""",youtube#activity,erocafuerte2010,like,\N,8,2016-12-27T14:36:05
25,com.domo.connector.youtube.vo.Id@a8878c9,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/3C8DcrUEsvIKiLMX9_48rQjIjjw""",youtube#activity,AironGroup,like,\N,9,2016-12-28T14:36:05
26,com.domo.connector.youtube.vo.Id@67d0051,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/Z9G1amhILukylEKSkeRvm5nNpmk""",youtube#activity,Solar Danmark A/S,like,\N,9,2016-12-28T14:36:05
27,com.domo.connector.youtube.vo.Id@474a8ba5,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/189kUTq3Xss9XC1fmz1x9_UOZh4""",youtube#activity,erocafuerte2010,like,\N,9,2016-12-28T14:36:05
28,com.domo.connector.youtube.vo.Id@60cd9cf1,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/aMYN1vyuySkbfCTr30yLoE7FCtc""",youtube#activity,AironGroup,like,\N,10,2016-12-29T14:36:08
29,com.domo.connector.youtube.vo.Id@2512c081,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/4aHVwr01e5FKBPni4aAiq_wWk08""",youtube#activity,Solar Danmark A/S,like,\N,10,2016-12-29T14:36:08
30,com.domo.connector.youtube.vo.Id@27584ecc,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/DA1IVZ6V9zeYY-mDBwkKO_YJn6M""",youtube#activity,erocafuerte2010,like,\N,10,2016-12-29T14:36:08
31,com.domo.connector.youtube.vo.Id@6b9d2aad,AIRON Mini-Seminar #5 Part 2/4,2014-07-04T20:28:46,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/6Rt-gq4oqZt3ZAvJG_2NX1lTw5M""",youtube#activity,AironGroup,like,\N,11,2016-12-30T14:36:08
32,com.domo.connector.youtube.vo.Id@cccfb52,Distech Controller på Herlufsholm Kostskole,2014-07-04T20:28:17,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/3BtVECcTfKDHT-B71EThmQC3NFw""",youtube#activity,Solar Danmark A/S,like,\N,11,2016-12-30T14:36:08
33,com.domo.connector.youtube.vo.Id@60cd9cf1,TABLERO DE AUTOMATIZACION DISTECH,2014-07-04T20:27:29,"""gMxXHe-zinKdE9lTnzKu8vjcmDI/NaeaewwoRontxAed85g-gjRFSRE""",youtube#activity,erocafuerte2010,like,\N,11,2016-12-30T14:36:08
